Hey Yog Fans! Check out the latest news from YOG reporter imiya Shokoohi http://bit.ly/b1WGoY #yog #van2010 #olympics,3
Innsbruck 2012 launches new Winter Youth Olympic Games Emblem http://bit.ly/d00eCK #youtholympics,2
"Hi YOG Followers! Check out my latest news story http://bit.ly/d7P9ZB #yogreporter #kimyia (error : focus?, sport)",3
"Kimiya Shokoohi, YOG reporter -sponsors host local youngsters - http://bit.ly/9HsZxy #youtholympics",2
Vancouver meets 10-year-old reporter http://bit.ly/9valA6 #van2010 #olympics,2
Phelps Becomes Youth Olympic Games Ambassador http://bit.ly/a6ZYMM #phelps #youtholympics,2
Check out the latest article from YOG reporter Kimiya Shokoohi Youngest athletes feel pressure-free http://bit.ly/b1WGoY #yog,3
Sochi's time fast approaching http://bit.ly/b1WGoY #olympics #yog,2
"Women’s hockey: a hit By Kimiya Shokoohi, YOG reporter. http://bit.ly/b1WGoY #yog #vancouver2010",2
Athlete takes his turn with the microphone  http://bit.ly/8XjbV2 by yog reporter Kimiya Shokoohi #yog #olympics,2
Medal Design Competition’s grand prize winner http://bit.ly/9s9Msf #yog #singapore2010,2
Hi Yog Followers!! Check out this cool pic http://bit.ly/cCKeno #yog,3
Singapore 2010 unveils Journey of the Youth Olympic Flame Torch design http://bit.ly/b1WGoY #yog #singapore2010,2
IOC launches Young Ambassador Programme for the Youth Olympic Games http://bit.ly/djuZj4 #singapore2010,2
IOC President praises preparations for first Youth Olympic Games in Singapore http://bit.ly/bT9XX9 #yog,2
Hey Yog followers! olympic.org has a new face to the cube...http://bit.ly/drzFNR,3
IOC announces Yelena Isinbayeva as Youth Olympic Games Ambassador http://bit.ly/bplZOX #yog #singapore2010,2
"Hello, my name is Patricia Freitas, I’m the Young Ambassador from Brazil http://bit.ly/cBQYkB #youtholympics",3
"Meet WANG Kan, China’s Young Ambassador for Singapore 2010! http://bit.ly/b1WGoY #YOG",3
[PRESS RELEASE] Singapore celebrates 99-day countdown to first-ever Youth Olympic Games http://bit.ly/a4lxAN #singapore2010,2
"Meet Chivinn Chum, Cambodia’s Young Ambassador for Singapore 2010 http://bit.ly/cU7Jd6 #singapore2010 #yog",3
Share what u think is the spirit of the youth olympics and u could be an official IOC photgrapher in singapore 2010 http://bit.ly/9OJwRc,3
IOC announces line-up of sport stars supporting the first Youth Olympic Games http://bit.ly/9XgcE3 #singapore2010,2
Social media connecting the world to the Youth Olympic Games http://bit.ly/dDkGkL #singapore2010,2
:-) Happy Olympic Day! #june23 #olympics,4
[PRESS RELEASE] Usain Bolt joins star-studded list of Youth Olympic Games Ambassadors http://bit.ly/bok8sK #singapore2010,2
[PRESS RELEASE] “The Best of Us Challenge” participant wins trip to inaugural Youth Olympic Games http://bit.ly/cd0BdX #singapore2010,2
